Month,riders
1960-01-31,648
1960-02-29,646
1960-03-31,639
1960-04-30,654
1960-05-31,630
1960-06-30,622
1960-07-31,617
1960-08-31,613
1960-09-30,661
1960-10-31,695
1960-11-30,690
1960-12-31,707
1961-01-31,817
1961-02-28,839
1961-03-31,810
1961-04-30,789
1961-05-31,760
1961-06-30,724
1961-07-31,704
1961-08-31,691
1961-09-30,745
1961-10-31,803
1961-11-30,780
1961-12-31,761
1962-01-31,857
1962-02-28,907
1962-03-31,873
1962-04-30,910
1962-05-31,900
1962-06-30,880
1962-07-31,867
1962-08-31,854
1962-09-30,928
1962-10-31,1064
1962-11-30,1103
1962-12-31,1026
1963-01-31,1102
1963-02-28,1080
1963-03-31,1034
1963-04-30,1083
1963-05-31,1078
1963-06-30,1020
1963-07-31,984
1963-08-31,952
1963-09-30,1033
1963-10-31,1114
1963-11-30,1160
1963-12-31,1058
1964-01-31,1209
1964-02-29,1200
1964-03-31,1130
1964-04-30,1182
1964-05-31,1152
1964-06-30,1116
1964-07-31,1098
1964-08-31,1044
1964-09-30,1142
1964-10-31,1222
1964-11-30,1234
1964-12-31,1155
1965-01-31,1286
1965-02-28,1281
1965-03-31,1224
1965-04-30,1280
1965-05-31,1228
1965-06-30,1181
1965-07-31,1156
1965-08-31,1124
1965-09-30,1152
1965-10-31,1205
1965-11-30,1260
1965-12-31,1188
1966-01-31,1212
1966-02-28,1269
1966-03-31,1246
1966-04-30,1299
1966-05-31,1284
1966-06-30,1345
1966-07-31,1341
1966-08-31,1308
1966-09-30,1448
1966-10-31,1454
1966-11-30,1467
1966-12-31,1431
1967-01-31,1510
1967-02-28,1558
1967-03-31,1536
1967-04-30,1523
1967-05-31,1492
1967-06-30,1437
1967-07-31,1365
1967-08-31,1310
1967-09-30,1441
1967-10-31,1450
1967-11-30,1424
1967-12-31,1360
1968-01-31,1429
1968-02-29,1440
1968-03-31,1414
1968-04-30,1424
1968-05-31,1408
1968-06-30,1337
1968-07-31,1258
1968-08-31,1214
1968-09-30,1326
1968-10-31,1417
1968-11-30,1417
1968-12-31,1329
1969-01-31,1461
1969-02-28,1425
1969-03-31,1419
1969-04-30,1432
1969-05-31,1394
1969-06-30,1327
